frame,elapsed_ms,capture_ms,copy_ms,native_texture
304,2523.491,0.762,0.270,19
305,2531.767,0.725,0.278,23
306,2540.200,0.876,0.269,27
307,2548.760,0.978,0.294,19
308,2556.894,0.830,0.289,23
309,2565.234,0.820,0.269,27
310,2573.613,0.890,0.273,19
311,2581.839,0.771,0.266,23
312,2590.180,0.841,0.266,27
313,2598.530,0.834,0.268,19
314,2606.827,0.804,0.264,23
315,2615.171,0.816,0.270,27
316,2623.529,0.847,0.287,19
317,2631.881,0.824,0.293,23
318,2640.218,0.864,0.288,27
319,2648.549,0.838,0.285,19
320,2656.891,0.788,0.301,23
321,2665.235,0.903,0.290,27
322,2673.510,0.824,0.291,19
323,2681.901,0.808,0.280,23
324,2690.171,0.740,0.268,27
325,2698.506,0.780,0.271,19
326,2706.806,0.747,0.273,23
327,2715.172,0.790,0.266,27
328,2723.551,0.831,0.275,19
329,2732.006,0.888,0.292,23
330,2740.393,0.980,0.292,27
331,2748.837,0.970,0.292,19
332,2757.120,0.961,0.292,23
333,2765.303,0.910,0.290,27
334,2773.490,0.757,0.272,19
335,2781.820,0.767,0.302,23
336,2790.392,0.988,0.304,27
337,2798.624,0.878,0.277,19
338,2807.182,1.007,0.289,23
339,2815.401,0.925,0.297,27
340,2823.784,0.907,0.296,19
341,2832.098,0.903,0.281,23
342,2840.316,0.827,0.279,27
343,2848.727,0.826,0.287,19
344,2857.013,0.791,0.271,23
345,2865.224,0.746,0.273,27
346,2873.710,0.931,0.303,19
347,2882.110,0.981,0.310,23
348,2890.251,0.845,0.278,27
349,2898.633,0.893,0.286,19
350,2907.106,0.947,0.309,23
351,2915.405,0.988,0.321,27
352,2923.706,0.961,0.305,19
353,2931.927,0.830,0.293,23
354,2940.379,0.974,0.308,27
355,2948.741,0.871,0.292,19
356,2957.076,0.943,0.320,23
357,2965.340,0.931,0.290,27
358,2973.638,0.922,0.285,19
359,2982.062,0.941,0.320,23
360,2990.423,1.007,0.316,27
361,2998.676,0.937,0.299,19
362,3006.910,0.819,0.284,23
363,3015.360,0.943,0.317,27
364,3023.694,0.943,0.314,19
365,3032.224,1.014,0.307,23
366,3040.397,0.966,0.307,27
367,3048.791,0.928,0.302,19
368,3057.120,0.963,0.306,23
369,3065.369,0.956,0.293,27
370,3073.708,0.935,0.297,19
371,3082.034,0.914,0.294,23
372,3090.412,0.967,0.298,27
373,3098.686,0.920,0.299,19
374,3106.974,0.856,0.281,23
375,3115.223,0.782,0.279,27
376,3123.510,0.774,0.278,19
377,3131.850,0.727,0.281,23
378,3140.190,0.769,0.281,27
379,3148.577,0.790,0.288,19
380,3156.920,0.716,0.279,23
381,3165.161,0.726,0.267,27
382,3173.554,0.740,0.271,19
383,3181.858,0.739,0.293,23
384,3190.230,0.789,0.284,27
385,3198.700,0.883,0.294,19
386,3206.964,0.810,0.284,23
387,3215.284,0.848,0.263,27
388,3223.769,0.931,0.284,19
389,3231.916,0.741,0.273,23
390,3240.314,0.870,0.280,27
391,3248.779,0.857,0.284,19
392,3257.018,0.787,0.269,23
393,3265.221,0.750,0.260,27
394,3273.635,0.818,0.272,19
395,3281.968,0.817,0.276,23
396,3290.221,0.808,0.273,27
397,3298.642,0.868,0.274,19
398,3307.037,0.854,0.271,23
399,3315.390,0.945,0.278,27
400,3323.615,0.842,0.280,19
401,3331.799,0.699,0.272,23
402,3340.114,0.725,0.269,27
403,3348.501,0.741,0.275,19
404,3356.840,0.692,0.273,23
405,3365.140,0.744,0.273,27
406,3373.648,0.789,0.282,19
407,3382.039,0.753,0.273,23
408,3390.334,0.811,0.270,27
409,3398.752,0.863,0.289,19
410,3407.061,0.891,0.305,23
411,3415.423,0.922,0.293,27
412,3423.773,0.900,0.285,19
413,3432.063,0.897,0.283,23
414,3440.412,0.974,0.294,27
415,3448.742,0.875,0.278,19
416,3457.112,0.905,0.303,23
417,3465.305,0.862,0.282,27
418,3473.759,0.976,0.285,19
419,3481.924,0.802,0.268,23
420,3490.306,0.829,0.267,27
421,3498.684,0.868,0.286,19
422,3507.054,0.942,0.308,23
423,3515.323,0.869,0.280,27
424,3523.741,0.934,0.306,19
425,3532.022,0.903,0.292,23
426,3540.296,0.804,0.272,27
427,3548.784,0.840,0.300,19
428,3557.153,0.853,0.282,23
429,3565.453,0.864,0.287,27
430,3573.785,0.885,0.306,19
431,3582.079,0.920,0.312,23
432,3590.321,0.875,0.309,27
433,3598.791,0.891,0.290,19
434,3606.914,0.819,0.294,23
435,3615.339,0.886,0.284,27
436,3623.712,0.910,0.301,19
437,3631.925,0.820,0.308,23
438,3640.316,0.893,0.296,27
439,3648.660,0.891,0.293,19
440,3657.162,0.902,0.312,23
441,3665.334,0.884,0.298,27
442,3673.784,0.923,0.310,19
443,3682.065,0.870,0.290,23
444,3690.321,0.771,0.292,27
445,3698.720,0.877,0.296,19
446,3706.908,0.791,0.320,23
447,3715.486,0.963,0.300,27
448,3723.853,0.947,0.330,19
449,3731.962,0.743,0.287,23
450,3740.286,0.774,0.287,27
451,3748.747,0.761,0.294,19
452,3756.996,0.736,0.289,23
453,3765.211,0.735,0.288,27
454,3773.651,0.757,0.287,19
455,3781.940,0.737,0.287,23
456,3790.282,0.781,0.291,27
457,3798.668,0.770,0.288,19
458,3806.912,0.722,0.289,23
459,3815.228,0.728,0.289,27
460,3823.663,0.773,0.289,19
461,3831.919,0.729,0.299,23
462,3840.251,0.771,0.290,27
463,3848.695,0.783,0.290,19
464,3857.112,0.797,0.293,23
465,3865.300,0.752,0.288,27
466,3873.691,0.786,0.292,19
467,3882.017,0.784,0.288,23
468,3890.344,0.730,0.284,27
469,3898.814,0.919,0.329,19
470,3907.116,0.925,0.310,23
471,3915.471,0.979,0.313,27
472,3923.832,0.942,0.306,19
473,3932.254,0.999,0.297,23
474,3940.449,0.944,0.292,27
475,3948.896,0.940,0.298,19
476,3957.336,1.067,0.300,23
477,3965.443,0.919,0.294,27
478,3973.855,0.959,0.302,19
479,3982.150,0.916,0.304,23
480,3990.413,0.894,0.291,27
481,3998.851,0.878,0.309,19
482,4007.122,0.907,0.295,23
483,4015.510,0.958,0.290,27
484,4023.803,0.919,0.317,19
485,4031.995,0.785,0.303,23
486,4040.359,0.845,0.305,27
487,4048.834,0.905,0.324,19
488,4057.179,0.950,0.313,23
489,4065.406,0.927,0.308,27
490,4073.763,0.907,0.333,19
491,4082.048,0.852,0.314,23
492,4090.396,0.892,0.326,27
493,4098.897,0.951,0.325,19
494,4106.988,0.788,0.308,23
495,4115.312,0.817,0.307,27
496,4123.753,0.895,0.311,19
497,4131.975,0.817,0.303,23
498,4140.356,0.861,0.316,27
499,4148.749,0.851,0.326,19
500,4157.012,0.759,0.303,23
501,4165.254,0.771,0.274,27
502,4173.598,0.731,0.285,19
503,4182.083,0.900,0.305,23
504,4190.545,0.964,0.293,27
